,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length
n40k_GUN_lasgun_mitra_,"Mitralocks are a type of Las-weapon used by the Adeptus Mechanicus. They release a fan of las-pulses akin to a shotgun blast. The firing range is reduced in favour of an increased likelihood of injuring their targets and way higher anti-material damage. Their beams evaporate surface layer of the metals turning it into the mirror that drastically increases internal structural damage.",,,,,,,,,,,,,



n40k_MAG_bolt_75_he_s,Bolt .75 HE (Small Mag),,,,,,,,,,,,,
n40k_MAG_bolt_75_he_s_,Standard bolt pistol magazine of 5 rounds.,,,,,,,,,,,,,
n40k_MAG_bolt_998_he_m,Bolt .998 HE (Medium Mag),,,,,,,,,,,,,
n40k_MAG_bolt_998_he_m_,Standard bolter magazine of 20 rounds.,,,,,,,,,,,,,
n40k_MAG_bolt_998_hei_m,Bolt .998 HEI (Medium Mag),,,,,,,,,,,,,
n40k_MAG_bolt_998_hei_m_,Standard bolter magazine of 20 inferno rounds.,,,,,,,,,,,,,
n40k_MAG_bolt_998_stasis_m,Bolt .998 STASIS (Medium Mag),,,,,,,,,,,,,
n40k_MAG_bolt_998_stasis_m_,Standard bolter magazine of 20 stasis rounds.,,,,,,,,,,,,,
n40k_MAG_bolt_998l_apds_s,Bolt .998L APDS (Small Mag),,,,,,,,,,,,,
n40k_MAG_bolt_998l_apds_s_,Standard stalker bolter magazine of 10 rounds.,,,,,,,,,,,,,
n40k_MAG_bolt_50mm_aphe_s,Bolt 50mm APHE (Small Mag),,,,,,,,,,,,,
n40k_MAG_bolt_50mm_aphe_s_,Standard bolt rifle magazine of 3 rounds.,,,,,,,,,,,,,

n40k_MAG_canister_s_pyrum,Small Pyrum-Petrol Fuel Canister,,,,,,,,,,,,,
n40k_MAG_canister_s_pyrum_,Compact fuel tank for use with low-powered melta equipment.,,,,,,,,,,,,,
n40k_MAG_canister_m_pyrum,Pyrum-Petrol Fuel Canister,,,,,,,,,,,,,
n40k_MAG_canister_m_pyrum_,Standard fuel tank for use with generic melta equipment.,,,,,,,,,,,,,
n40k_MAG_pack_s_high_density,High-Density Power Pack,,,,,,,,,,,,,
n40k_MAG_pack_s_high_density_,An energy bank of incredible power density prone to overheating.,,,,,,,,,,,,,
n40k_MAG_pack_m_warpborn_photon,Warpborn Photon Pack,,,,,,,,,,,,,
n40k_MAG_pack_m_warpborn_photon_,A roaring backness of malign warp particles trapped within a sophisticated storage container.,,,,,,,,,,,,,
n40k_MAG_battery_l_multi,Multi-Threaded Battery,,,,,,,,,,,,,
n40k_MAG_battery_l_multi_,A bundle of high-powered batteries conjoined into a single unit.,,,,,,,,,,,,,

n40k_MAG_blade_adamantium_teeth,Adamantium Teeth,,,,,,,,,,,,,
n40k_MAG_blade_adamantium_teeth_,Standard chainsword chain covered in razor-sharp adamantium teeth.,,,,,,,,,,,,,
n40k_MAG_crystal_s_sollex,Sollex Focusing Crystal,,,,,,,,,,,,,
n40k_MAG_crystal_s_sollex_,An ancient crystal too perfect to be grown naturally. It shimmers with enigmatic power.,,,,,,,,,,,,,


n40k_ITEM_bayonet_l,Marine Bayonet,,,,,,,,,,,,,
n40k_ITEM_bayonet_l_,"An oversized bayonet, fit for transhuman weaponry.",,,,,,,,,,,,,

n40k_ITEM_grenade_he,High-Explosive Grenade,,,,,,,,,,,,,
n40k_ITEM_grenade_he_,"RMB to pull the pin, LMB to throw.",,,,,,,,,,,,,
n40k_ITEM_grenade_hei,High-Explosive Incendiary Grenade,,,,,,,,,,,,,
n40k_ITEM_grenade_hei_,"RMB to pull the pin, LMB to throw.",,,,,,,,,,,,,
n40k_ITEM_grenade_flashbang,Stun Grenade,,,,,,,,,,,,,
n40k_ITEM_grenade_flashbang_,"RMB to pull the pin, LMB to throw.",,,,,,,,,,,,,
n40k_ITEM_grenade_arc,Arc Grenade,,,,,,,,,,,,,
n40k_ITEM_grenade_arc_,"RMB to pull the pin, LMB to throw.",,,,,,,,,,,,,
n40k_ITEM_grenade_ruptor,Ruptor Grenade,,,,,,,,,,,,,
n40k_ITEM_grenade_ruptor_,"RMB to pull the pin, LMB to throw.",,,,,,,,,,,,,

n40k_ITEM_keg,keg,,,,,,,,,,,,,
n40k_ITEM_keg_,keg,,,,,,,,,,,,,



n40k_EQUIPMENT_shield_s,shield,,,,,,,,,,,,,
n40k_EQUIPMENT_shield_s_,shield,,,,,,,,,,,,,
n40k_EQUIPMENT_refractor,Refractor Field,,,,,,,,,,,,,
n40k_EQUIPMENT_refractor_,"Refractor Field distorts the image of the wearer with a shimmering cloak of gravitic force. Incoming attacks that strike the shield will be refracted into multi-spectrum bursts that dissipate into harmlessness.",,,,,,,,,,,,,

n40k_EQUIPMENT_jumppack_l,Marine Jumppack,,,,,,,,,,,,,
n40k_EQUIPMENT_jumppack_l_,"Bulky and unviewdly, it's about the only man-portable thing to lift a fully equipped Space Marine in the air.",,,,,,,,,,,,,
n40k_EQUIPMENT_jumppack_l_upgrade,jumppack upgrade,,,,,,,,,,,,,
n40k_EQUIPMENT_jumppack_l_upgrade_,jumppack upgrade,,,,,,,,,,,,,

n40k_EQUIPMENT_servoskull_e,Servo-Skull (Eunomia Pattern),,,,,,,,,,,,,
n40k_EQUIPMENT_servoskull_e_,"A Servo-Skull is a drone-like robotic device that appears to be a human skull outfitted with electronic or cybernetic components that utilise embedded anti-gravity field generators to allow them to hover and drift bodiless through the air. This model is designed to integrated closely with owner's reactor system, lessening the power network load.",,,,,,,,,,,,,
n40k_EQUIPMENT_osculant_device,osculant device,,,,,,,,,,,,,
n40k_EQUIPMENT_osculant_device_,osculant device,,,,,,,,,,,,,



n40k_PERK_armor_mk7_ultramarine,Mark VII Power Armour,,,,,,,,,,,,,
n40k_PERK_armor_mk7_ultramarine_,"This version of basic power armour was also known as Imperator Armour. It is the contemporary variant of power armour most commonly used by the Space Marine Chapters of the Imperium. Mark VII armour was developed during the last stages of the Horus Heresy, and remains in use as the most common form of power armour more than 10 millennia later. A warrior's faith in his commander is his best armour and his strongest weapon.",,,,,,,,,,,,,
n40k_PERK_armor_mk7_blood_angel,Mark VII Power Armour,,,,,,,,,,,,,
n40k_PERK_armor_mk7_blood_angel_,Mark VII Power Armour,,,,,,,,,,,,,
n40k_PERK_armor_mk7_imperial_fist,Mark VII Power Armour,,,,,,,,,,,,,
n40k_PERK_armor_mk7_imperial_fist_,Mark VII Power Armour,,,,,,,,,,,,,
n40k_PERK_armor_mk7_white_scar,Mark VII Power Armour,,,,,,,,,,,,,
n40k_PERK_armor_mk7_white_scar_,Mark VII Power Armour,,,,,,,,,,,,,
n40k_PERK_armor_mk7_iron_hand,Mark VII Power Armour,,,,,,,,,,,,,
n40k_PERK_armor_mk7_iron_hand_,Mark VII Power Armour,,,,,,,,,,,,,
n40k_PERK_armor_mk7_space_wolf,Mark VII Power Armour,,,,,,,,,,,,,
n40k_PERK_armor_mk7_space_wolf_,Mark VII Power Armour,,,,,,,,,,,,,
n40k_PERK_armor_mk7_salamander,Mark VII Power Armour,,,,,,,,,,,,,
n40k_PERK_armor_mk7_salamander_,Mark VII Power Armour,,,,,,,,,,,,,
n40k_PERK_armor_mk7_raven_guard,Mark VII Power Armour,,,,,,,,,,,,,
n40k_PERK_armor_mk7_raven_guard_,Mark VII Power Armour,,,,,,,,,,,,,
n40k_PERK_armor_mk7_dark_angel,Mark VII Power Armour,,,,,,,,,,,,,
n40k_PERK_armor_mk7_dark_angel_,Mark VII Power Armour,,,,,,,,,,,,,

n40k_PERK_armor_sicarian,Sicarian Battle Armour,,,,,,,,,,,,,
n40k_PERK_armor_sicarian_,"This armour is built out of the multilayered alloy, informally known as aegium, that provides admirable protection despite being thin and flexible. It acts as a capacitor that harnesses the energy of incoming attacks and disperses it across the wearer's energy system. Spirits of the machine, accept my plea and walk amidst the gun, and fire it true.",,,,,,,,,,,,,

n40k_PERK_armor_sororitas,Adepta Sororitas Power Armour,,,,,,,,,,,,,
n40k_PERK_armor_sororitas_,"This lighter power armour provides excellent protection and increased strength with little to no reduction in movement speed or agility, despite the lack of direct nervous system integration. Combined with the wing-shaped jumppack, it gives the wearer an angelic profile, striking fear in the corrupt and strengthening the morale of the devout. Press [DOWN]+[USE] for directed dash or just hold [DOWN] to enter the glide mode.",,,,,,,,,,,,,

n40k_PERK_second_heart,Secondary Heart,,,,,,,,,,,,,
n40k_PERK_second_heart_,"The Secondary Heart, also called the Maintainer, resembles a smaller version of the Human heart and is implanted in the chest cavity. In the event of failure of the Space Marine's original heart, the Secondary Heart is usually capable of pumping enough blood through the Astartes' circulatory system to maintain survival. Glory in death is life Eternal.",,,,,,,,,,,,,
n40k_PERK_ossmodula,Ossmodula,,,,,,,,,,,,,
n40k_PERK_ossmodula_,"The Ossmodula, also called the Ironheart, is surgically placed alongside the neophyte's pituitary gland at the base of the brain, thus becoming a part of the Space Marine's endocrine system, secretes a specially engineered form of human growth hormone. When the effects of this hormone are combined with a diet laced with microscopic ceramic-based minerals, they act to synthesise the rapid growth of an Astartes' skeleto-muscular system which results in an Astartes' superhuman strength and massive size compared to a baseline human male. Faith is your shield.",,,,,,,,,,,,,
n40k_PERK_biscopea,Biscopea,,,,,,,,,,,,,
n40k_PERK_biscopea_,"The Biscopea, also called the Forge of Strength, enhances a Space Marine's physical combat ability and survivability to superhuman levels should he live to become a full Astartes of a Space Marine Chapter. This organ is implanted into the chest cavity. It is small, approximately spherical and, like the Ossmodula, its primary action is hormonal. The presence of the Biscopea stimulates muscle growth throughout the body, greatly increasing a Space Marine's physical strength. A weapon cannot substitute for zeal.",,,,,,,,,,,,,
n40k_PERK_larraman,Larraman's Organ,,,,,,,,,,,,,
n40k_PERK_larraman_,"Larraman's Organ, also called the Healer, shaped like the Human liver but only the size of a golf ball, is placed within the chest cavity and manufactures the synthetic biological cells known as Larraman Cells. These biosynthetic cells serve the same physiological purpose for an Astartes as the normal Human body's platelets, serving to clot the blood lost from wounds, but act faster, more efficiently and more effectively. Losses are acceptable. Failure is not.",,,,,,,,,,,,,
n40k_PERK_occulobe,Occulobe,,,,,,,,,,,,,
n40k_PERK_occulobe_,"The Occulobe, also called the Eye of Vengeance, sits at the base of the brain after being implanted along the optic nerve and connected to the retina, and provides hormonal and genetic stimuli which enable a Space Marine's eyes to respond to the optic-therapy that all neophytes must undergo in their Chapter's Apothecarium to allow sight in low-light conditions and near-darkness almost as well as in bright daylight. In the darkest of moments, the Emperor’s light shines brightest.",,,,,,,,,,,,,
n40k_PERK_sus_an,Sus-an Membrane,,,,,,,,,,,,,
n40k_PERK_sus_an_,"The Sus-an Membrane, also called the Hibernator, implanted within the neophyte's cranium, eventually merges with the recipient's cerebrum, becoming a full part of his neural architecture. The organ's functions are ineffective without follow-up chemical therapy and training by a Chapter's Apothecaries, but with sufficient practice and instruction a Space Marine can use this implant to enter a state of suspended animation, consciously or as an automatic reaction to extreme trauma, keeping the wounded Space Marine alive for Terran years. Over the faithful, death has no dominion.",,,,,,,,,,,,,
n40k_PERK_twin_linked,Twin-Linked,,,,,,,,,,,,,
n40k_PERK_twin_linked_,"Through your unrivaled zealotry you've been granted an ability to wield two weapons at the same time.",,,,,,,,,,,,,

n40k_PERK_codex_mastery,Codex Mastery,,,,,,,,,,,,,
n40k_PERK_codex_mastery_,"Superhuman memory combined with unbelievable discipline result in the thorough knowledge of the Codex Astartes. Such a remarkable achievement grants you a special blessing: every shot worthy of His finest warrior will be instantly replenished, so the enemies might taste even more of the glorious fury of thy weapons.",,,,,,,,,,,,,
n40k_PERK_black_rage,Black Rage,,,,,,,,,,,,,
n40k_PERK_black_rage_,"Burried deep inside you, a horrifying curse sleeps, a distant memory of the greatest betrayal, waiting for the chance to unleash upon the world and harvest the bloody crop of the enemies of the Imperium.",,,,,,,,,,,,,
n40k_PERK_chogorian_savagery,Chogorian Savagery,,,,,,,,,,,,,
n40k_PERK_chogorian_savagery_,"Your noble and valiant heart can't stand the scum that dares to oppose the might of your Primarch to the extend of throwing you into the battle rage in the heat of the fight.",,,,,,,,,,,,,
n40k_PERK_emperors_praetorian,Emperor's Praetorian,,,,,,,,,,,,,
n40k_PERK_emperors_praetorian_,"Unbreakable body and adamant mind result in an outstanding steadfastness, striking even for the Space Marine, making you a true Bastion of the Imperium.",,,,,,,,,,,,,
n40k_PERK_fenrisian_blood,Fenrisian Blood,,,,,,,,,,,,,
n40k_PERK_fenrisian_blood_,"Cold winds of Fenris and noble taste of Mjød tempered your body and spirit, so not only you have become near immune to the extremes of the frost but also gained a special ability of transforming inner heat into the pure power of the warrior's rage.",,,,,,,,,,,,,
n40k_PERK_nocturne_forged,Nocturne Forged,,,,,,,,,,,,,
n40k_PERK_nocturne_forged_,"A special kind of skin, bestowed upon you by the genes of the Primarch himself, allows you to survive an absolute extremes of the searing heat and effortlessly step through an incinerating inferno.",,,,,,,,,,,,,
n40k_PERK_living_shadow,Living Shadow,,,,,,,,,,,,,
n40k_PERK_living_shadow_,"Decades of nonstop practice allow you to position your body in such a way that it near completely fades into the background, making you effectively invisible to the naked eye, assuming you are stationary.",,,,,,,,,,,,,
n40k_PERK_unchained,Unchained,,,,,,,,,,,,,
n40k_PERK_unchained_,"You operate outside Imperium's jurisdiction. No secret shall remain veiled.",,,,,,,,,,,,,
n40k_PERK_emperors_daughter,Emperor's Daughter,,,,,,,,,,,,,
n40k_PERK_emperors_daughter_,"The purity of your faith and valiancy of your spirit have earned His attention - a sensation of divine protection propagates throughout your entire body.",,,,,,,,,,,,,

n40k_PERK_omnissiahs_blessing,Omnissiah's Blessing,,,,,,,,,,,,,
n40k_PERK_omnissiahs_blessing_,"The vast majority of your body consists of highly advanced machinery which significantly enchanses your capabilities, provides solid foundation for futher augmentation and makes you immune to the most natural threats.",,,,,,,,,,,,,
n40k_PERK_eternal_vigilance,Eternal Vigilance,,,,,,,,,,,,,
n40k_PERK_eternal_vigilance_,"Your eyelids were replaced with a multipurpose visor system connected directly to the brain. It will display your position, speed and orientation, condition of the energy system, locations and threat levels of all detected enemies. It features the auspex, global success chance and threat level calculators, advanced entity scanner and centralized console output. It may also assume direct control over the servoskull and mechadedrites. Let its sophistication be the bane of your foes. Use the button in top left corner to change the modes. Press [DOWN]+[USE] to capture the target. See console log for futher info.",,,,,,,,,,,,,
n40k_PERK_breath_of_mars,The Breath of Mars,,,,,,,,,,,,,
n40k_PERK_breath_of_mars_,"Your respiratory system is represented by the cognis rebreather tubes that plunge deep into the chest. When necessary you may draw upon a reservoir of polluted gases harvested from the Red Planet itself.",,,,,,,,,,,,,
n40k_PERK_mechadendrites,Mechadendrites,,,,,,,,,,,,,
n40k_PERK_mechadendrites_,"A Mechadendrite is the term used for the bionic tentacle-like limb prosthetics. They are hard-wired into the central nervous system of the owner and surgically attached to the spine, so that user will be able to control them using neural impulses just like a biological limb.",,,,,,,,,,,,,



n40k_CLASS_1,Adeptus Astartes,,,,,,,,,,,,,
n40k_CLASS_1_,"Adeptus Astartes are fearsome warriors, created by the Emperor and forged by the millenia of neverending wars. Only one Space Marine can be compared to a battalion of regular troops and a company of Astartes is considered to be a sufficient enough force to kneel entire armies. They dominate the battlefield through raw power and resilience but their capabilities are drastically improved with application of outstanding tactics and inhuman skills granted by a dozen of Gene-Seed implants that unlock the true potential of human body.",,,,,,,,,,,,,
n40k_CLASS_1_1,Neophyte,,,,,,,,,,,,,
n40k_CLASS_1_1_,,,,,,,,,,,,,,
n40k_CLASS_1_2,Firstborn Marine,,,,,,,,,,,,,
n40k_CLASS_1_2_,,,,,,,,,,,,,,
n40k_CLASS_1_2_1,Ultramarine,,,,,,,,,,,,,
n40k_CLASS_1_2_1_,"Highly disciplined and courageous warriors, the Ultramarines have remained true to the teachings of their Primarch for 10,000 standard years. Utilizing Codex Astartes as their primary weapon, they are able to achieve outstanding tactical decisions, that alone were known to win wars which had already been considered a failure, not only completely obliterating the opposition but also preserving priceless resources. / Courage and Honour! /",,,,,,,,,,,,,
n40k_CLASS_1_2_2,Blood Angel,,,,,,,,,,,,,
n40k_CLASS_1_2_2_,"The Blood Angels are well-known across the galaxy for their bloodthirsty nature in battle, and feared for the curse of flawed gene-seed they carry, which, none-the-less, is the primary source of their terrifying combat performance. They were one of the most celebrated Legions: their countless heroic deeds and victories known to untold billions of the Emperor's subjects across the length and breadth of the Imperium. / By the Blood of Sanguinius! /",,,,,,,,,,,,,
n40k_CLASS_1_2_3,Imperial Fist,,,,,,,,,,,,,
n40k_CLASS_1_2_3_,"The Imperial Fists were one of the most valiant of all Legions, held as paragons of all the principles to which a Space Marine is heir. They stand as the steadfast defenders of the Imperium, crashing adversary armies for millenias. Indeed, if the Fists have a fault, it is that they continue to strive when others would yield or withdraw, but this comes only at a steep cost in lives. / Primarch, to your glory and the glory of Him on Terra! /",,,,,,,,,,,,,
n40k_CLASS_1_2_4,White Scar,,,,,,,,,,,,,
n40k_CLASS_1_2_4_,"Known and feared throughout the Imperium for their highly mobile way of war, the White Scars are considered the masters of the lightning strike and hit-and-run attack. Bearing the ritual scars of bravery, these fierce warriors fight with all the tribal savagery that define the fierce steppe nomads of their homeworld bringing swift death to all of the enemies of the mankind. / For the Emperor and the Khan! /",,,,,,,,,,,,,
n40k_CLASS_1_2_5,Iron Hand,,,,,,,,,,,,,
n40k_CLASS_1_2_5_,"The Iron Hands are ultimately defined by their hatred of weakness of any kind, a hatred that extends to their own bodies, for they hold that all organic limbs are ultimately frail and subject to the weaknesses brought on by age and disease, compulsively driven to augment their flesh. In battle, they utilise their anger and hatred, identifying enemies' vulnerabilities and exploiting them ruthlessly. / The Flesh is Weak! /",,,,,,,,,,,,,
n40k_CLASS_1_2_6,Space Wolf,,,,,,,,,,,,,
n40k_CLASS_1_2_6_,"Nurtured among ones of the most hostile predators known to mankind and tempered in deadly permafrost of their homeworld, the Space Wolves were one of the most savage Legiones Astartes in the Imperium. Wild and glorious, brute and perseptive, loyal and horrifying, they are ready to decimate anyone who dares to offend their King or even thinks of foul tricks on the battlefield. / For Russ and the All-father! /",,,,,,,,,,,,,
n40k_CLASS_1_2_7,Salamander,,,,,,,,,,,,,
n40k_CLASS_1_2_7_,"Craftsmen and artificers, the Salamanders know the true price of every creation be it a machine or a living thing. Such an invaluable knowledge results in the believe that their most important duty is to protect the innocent lives whenever and wherever possible. They are also fascinated by the fire in all of its hypostases, seeing it as the greatest tool and utilizing as the most powerful weapon. / Into the fires of battle, unto the Anvil of War! /",,,,,,,,,,,,,
n40k_CLASS_1_2_8,Raven Guard,,,,,,,,,,,,,
n40k_CLASS_1_2_8_,"From it earliest days, the Raven Guard Legion was known as a regiment of cunning and patient hunters, adept at biding their time until the moment to strike was at hand. For thousands of standard years, across thousands of worlds, they stalked the enemies of the Imperium as shadows of death, waiting for the perfect moment to deliver the killing blow before melting back into the darkness once more, leaving no witnesses and no unnessesary casualities behind. / Victory or Death! /",,,,,,,,,,,,,
n40k_CLASS_1_2_9,Dark Angel,,,,,,,,,,,,,
n40k_CLASS_1_2_9_,"The Dark Angels were one of the most cryptic Legions. They fought uncountable wars against never seen before and never discovered again enemies, held numerous horrifyingly heretical secrets and were responsible for several of the most glorious victories of the Imperium. The capabilities of their arsenal can't be rivaled with and their combat potential is unmatched, much like the fury that the Angels unleash upon those who betrayed their brotherhood. / Repent! For tomorrow you die! /",,,,,,,,,,,,,
n40k_CLASS_1_3,Warsuit Veteran,,,,,,,,,,,,,
n40k_CLASS_1_3_,,,,,,,,,,,,,,
n40k_CLASS_1_4,Moritat Warrior,,,,,,,,,,,,,
n40k_CLASS_1_4_,,,,,,,,,,,,,,

n40k_CLASS_2,Astra Militarum,,,,,,,,,,,,,
n40k_CLASS_2_,,,,,,,,,,,,,,
n40k_CLASS_2_1,,,,,,,,,,,,,,
n40k_CLASS_2_1_,,,,,,,,,,,,,,
n40k_CLASS_2_2,,,,,,,,,,,,,,
n40k_CLASS_2_2_,,,,,,,,,,,,,,
n40k_CLASS_2_3,,,,,,,,,,,,,,
n40k_CLASS_2_3_,,,,,,,,,,,,,,
n40k_CLASS_2_4,,,,,,,,,,,,,,
n40k_CLASS_2_4_,,,,,,,,,,,,,,

n40k_CLASS_3,Adeptus Mechanicus,,,,,,,,,,,,,
n40k_CLASS_3_,,,,,,,,,,,,,,
n40k_CLASS_3_1,Legiones Skitarii,,,,,,,,,,,,,
n40k_CLASS_3_1_,,,,,,,,,,,,,,
n40k_CLASS_3_2,Tech-Priesthood,,,,,,,,,,,,,
n40k_CLASS_3_2_,"Tech-Priests are the members of the Machine Cult, a priesthood which forms an hierarchy of technicians, scientists, and religious leaders who believe that knowledge represents the only true divinity in the universe. Their bodies are often heavily augmented in the pursuit to please the Machine God, Omnissiah. However, despite the never-ending thirst for knowledge of all branches of the order, most Tech-Priests have lost the ability to innovate or carry out basic scientific research - that is the price of 10,000 years of neverending wars and all-consuming stagnation.",,,,,,,,,,,,,
n40k_CLASS_3_2_1,Magos Explorator,,,,,,,,,,,,,
n40k_CLASS_3_2_1_,"Adeptus Mechanicus are well known for their frenetic obsession with technology as well as for how little innovative minds are left amongst them. However, no matter how few, those members of the Machine Cult often play key roles in the history of the Imperium and their name - Explorators. Armed to the teeth with forbidden technologies, extensive knowledge of numerous dark secrets and truly undying urge for discovery, they represent the Omnissiah in all of its terrifying glory, eager to save and ready to destroy.",,,,,,,,,,,,,
n40k_CLASS_3_3,Legio Cybernetica,,,,,,,,,,,,,
n40k_CLASS_3_3_,,,,,,,,,,,,,,
n40k_CLASS_3_4,Auxilia Myrmidon,,,,,,,,,,,,,
n40k_CLASS_3_4_,,,,,,,,,,,,,,

n40k_CLASS_4,Adeptus Astra Telepathica,,,,,,,,,,,,,
n40k_CLASS_4_,,,,,,,,,,,,,,
n40k_CLASS_4_1,,,,,,,,,,,,,,
n40k_CLASS_4_1_,,,,,,,,,,,,,,
n40k_CLASS_4_2,,,,,,,,,,,,,,
n40k_CLASS_4_2_,,,,,,,,,,,,,,
n40k_CLASS_4_3,,,,,,,,,,,,,,
n40k_CLASS_4_3_,,,,,,,,,,,,,,
n40k_CLASS_4_4,,,,,,,,,,,,,,
n40k_CLASS_4_4_,,,,,,,,,,,,,,

n40k_CLASS_5,Officio Assassinorum,,,,,,,,,,,,,
